,EMA_14,Date
234,11337.652,2020-08-05 05:45:00
235,11336.276,2020-08-05 05:50:00
236,11332.73,2020-08-05 05:55:00
237,11329.864,2020-08-05 06:00:00
238,11328.504,2020-08-05 06:05:00
239,11326.564,2020-08-05 06:10:00
240,11325.098,2020-08-05 06:15:00
241,11322.964,2020-08-05 06:20:00
242,11320.171,2020-08-05 06:25:00
243,11316.851,2020-08-05 06:30:00
244,11313.859,2020-08-05 06:35:00
245,11311.613,2020-08-05 06:40:00
246,11309.526,2020-08-05 06:45:00
247,11307.383,2020-08-05 06:50:00
248,11304.835,2020-08-05 06:55:00
249,11302.269,2020-08-05 07:00:00
250,11298.268,2020-08-05 07:05:00
251,11293.774,2020-08-05 07:10:00
252,11288.747,2020-08-05 07:15:00
253,11286.163,2020-08-05 07:20:00
254,11285.479,2020-08-05 07:25:00
255,11286.588,2020-08-05 07:30:00
256,11287.548,2020-08-05 07:35:00
257,11288.022,2020-08-05 07:40:00
258,11288.134,2020-08-05 07:45:00
259,11288.286,2020-08-05 07:50:00
260,11289.551,2020-08-05 07:55:00
261,11291.863,2020-08-05 08:00:00
262,11295.881,2020-08-05 08:05:00
263,11299.137,2020-08-05 08:10:00
264,11301.4795,2020-08-05 08:15:00
265,11303.298,2020-08-05 08:20:00
266,11305.581,2020-08-05 08:25:00
267,11307.633,2020-08-05 08:30:00
268,11309.445,2020-08-05 08:35:00
269,11312.937,2020-08-05 08:40:00
270,11315.588,2020-08-05 08:45:00
271,11319.366,2020-08-05 08:50:00
272,11322.1875,2020-08-05 08:55:00
273,11323.658,2020-08-05 09:00:00
274,11323.107,2020-08-05 09:05:00
275,11320.831,2020-08-05 09:10:00
276,11319.579,2020-08-05 09:15:00
277,11318.457,2020-08-05 09:20:00
278,11318.798,2020-08-05 09:25:00
279,11320.647,2020-08-05 09:30:00
280,11322.703,2020-08-05 09:35:00
281,11324.006,2020-08-05 09:40:00
282,11326.171,2020-08-05 09:45:00
283,11327.768,2020-08-05 09:50:00
284,11328.896,2020-08-05 09:55:00
285,11329.424,2020-08-05 10:00:00
286,11328.618,2020-08-05 10:05:00
287,11327.2,2020-08-05 10:10:00
